2025-07-11 01:12:34,757 [INFO] Use pytorch device_name: mps
2025-07-11 01:12:34,757 [INFO] Load pretrained SentenceTransformer: all-mpnet-base-v2
2025-07-11 01:12:57,023 [INFO] [825/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-005/REQ-005-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-005/REQ-005-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': 0.016345465555787086, 'fallback': ''}
2025-07-11 01:12:57,480 [INFO] [850/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:57,985 [INFO] [875/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-010/REQ-010-HLJ-Chunk_2-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-010/REQ-010-HLJ-Chunk_2-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': 0.008103083819150925, 'fallback': ''}
2025-07-11 01:12:58,476 [INFO] [900/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-021/REQ-021-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-021/REQ-021-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.019502561539411545, 'fallback': ''}
2025-07-11 01:12:58,938 [INFO] [925/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-026/REQ-026-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-026/REQ-026-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:59,449 [INFO] [950/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-027/REQ-027-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-027/REQ-027-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:59,981 [INFO] [975/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/gpt41/req-029/REQ-029-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/gpt41/req-029/REQ-029-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': 0.02137085795402527, 'fallback': ''}
2025-07-11 01:13:00,687 [INFO] [1000/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-008/REQ-008-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-008/REQ-008-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'status': 'success', 'silhouette': -0.018959613516926765, 'fallback': ''}
2025-07-11 01:13:02,630 [INFO] [1025/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_7-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_7-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:03,647 [INFO] [1050/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_5-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_5-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
